transaction_id,amount,payment_method,status,failure_reason,refund_status,customer_id,attempt_count,timestamp
TXN1001,6999,UPI,FAILED,BANK_TIMEOUT,PENDING,CUST001,2,2026-09-04 09:00:00
TXN1002,499,CARD,SUCCESS,,NOT_STARTED,CUST002,1,2026-09-04 09:17:00
TXN1003,2199,UPI,FAILED,NETWORK_ERROR,PENDING,CUST003,2,2026-09-04 09:34:00
TXN1004,8999,CARD,FAILED,PAYMENT_DECLINED,NOT_STARTED,CUST004,1,2026-09-04 09:51:00
TXN1005,1299,NETBANKING,SUCCESS,,NOT_STARTED,CUST005,1,2026-09-04 10:08:00
TXN1006,5499,UPI,SUCCESS,,NOT_STARTED,CUST006,1,2026-09-04 10:25:00
TXN1007,799,CARD,FAILED,PAYMENT_DECLINED,NOT_STARTED,CUST007,1,2026-09-04 10:42:00
TXN1008,3499,UPI,FAILED,BANK_TIMEOUT,PENDING,CUST008,2,2026-09-04 10:59:00
TXN1009,1599,CARD,SUCCESS,,NOT_STARTED,CUST009,1,2026-09-04 11:16:00
TXN1010,4999,NETBANKING,FAILED,NETWORK_ERROR,PENDING,CUST010,3,2026-09-04 11:33:00
TXN1011,999,UPI,SUCCESS,,NOT_STARTED,CUST011,1,2026-09-04 11:50:00
TXN1012,6999,UPI,FAILED,BANK_TIMEOUT,PENDING,CUST012,2,2026-09-04 12:07:00
TXN1013,2499,CARD,SUCCESS,,NOT_STARTED,CUST013,1,2026-09-04 12:24:00
TXN1014,2999,CARD,FAILED,PAYMENT_DECLINED,NOT_STARTED,CUST014,1,2026-09-04 12:41:00
TXN1015,899,UPI,SUCCESS,,NOT_STARTED,CUST015,1,2026-09-04 12:58:00
TXN1016,5799,NETBANKING,FAILED,BANK_TIMEOUT,PENDING,CUST016,2,2026-09-04 13:15:00
TXN1017,2199,UPI,FAILED,NETWORK_ERROR,PENDING,CUST017,2,2026-09-04 13:32:00
TXN1018,7499,CARD,SUCCESS,,NOT_STARTED,CUST018,1,2026-09-04 13:49:00
TXN1019,1299,UPI,FAILED,PAYMENT_DECLINED,NOT_STARTED,CUST019,1,2026-09-04 14:06:00
TXN1020,3999,NETBANKING,SUCCESS,,NOT_STARTED,CUST020,1,2026-09-04 14:23:00
TXN1021,6499,UPI,FAILED,BANK_TIMEOUT,PENDING,CUST021,2,2026-09-04 14:40:00
TXN1022,599,CARD,SUCCESS,,NOT_STARTED,CUST022,1,2026-09-04 14:57:00
TXN1023,1899,UPI,FAILED,NETWORK_ERROR,PENDING,CUST023,2,2026-09-04 15:14:00
TXN1024,9999,CARD,FAILED,PAYMENT_DECLINED,NOT_STARTED,CUST024,1,2026-09-04 15:31:00
TXN1025,2799,UPI,SUCCESS,,NOT_STARTED,CUST025,1,2026-09-04 15:48:00
TXN1026,4599,NETBANKING,FAILED,BANK_TIMEOUT,PENDING,CUST026,2,2026-09-04 16:05:00
TXN1027,1099,CARD,SUCCESS,,NOT_STARTED,CUST027,1,2026-09-04 16:22:00
TXN1028,3299,UPI,FAILED,NETWORK_ERROR,PENDING,CUST028,2,2026-09-04 16:39:00
TXN1029,7999,CARD,SUCCESS,,NOT_STARTED,CUST029,1,2026-09-04 16:56:00
TXN1030,1699,UPI,FAILED,PAYMENT_DECLINED,NOT_STARTED,CUST030,1,2026-09-04 17:13:00
TXN1031,5299,NETBANKING,FAILED,BANK_TIMEOUT,PENDING,CUST031,2,2026-09-04 17:30:00
TXN1032,899,UPI,SUCCESS,,NOT_STARTED,CUST032,1,2026-09-04 17:47:00
TXN1033,2399,CARD,FAILED,NETWORK_ERROR,PENDING,CUST033,2,2026-09-04 18:04:00
TXN1034,6199,UPI,SUCCESS,,NOT_STARTED,CUST034,1,2026-09-04 18:21:00
TXN1035,1499,CARD,FAILED,PAYMENT_DECLINED,NOT_STARTED,CUST035,1,2026-09-04 18:38:00
TXN1036,8499,NETBANKING,FAILED,BANK_TIMEOUT,PENDING,CUST036,2,2026-09-04 18:55:00
TXN1037,699,UPI,SUCCESS,,NOT_STARTED,CUST037,1,2026-09-04 19:12:00
TXN1038,3799,CARD,FAILED,NETWORK_ERROR,PENDING,CUST038,2,2026-09-04 19:29:00
TXN1039,7299,UPI,SUCCESS,,NOT_STARTED,CUST039,1,2026-09-04 19:46:00
TXN1040,1999,CARD,FAILED,PAYMENT_DECLINED,NOT_STARTED,CUST040,1,2026-09-04 20:03:00
TXN1041,5699,NETBANKING,FAILED,BANK_TIMEOUT,PENDING,CUST041,2,2026-09-04 20:20:00
TXN1042,1199,UPI,SUCCESS,,NOT_STARTED,CUST042,1,2026-09-04 20:37:00
TXN1043,2899,CARD,FAILED,NETWORK_ERROR,PENDING,CUST043,2,2026-09-04 20:54:00
TXN1044,9499,UPI,SUCCESS,,NOT_STARTED,CUST044,1,2026-09-04 21:11:00
TXN1045,999,CARD,FAILED,PAYMENT_DECLINED,NOT_STARTED,CUST045,1,2026-09-04 21:28:00
TXN1046,4399,NETBANKING,FAILED,BANK_TIMEOUT,PENDING,CUST046,2,2026-09-04 21:45:00
TXN1047,1599,UPI,SUCCESS,,NOT_STARTED,CUST047,1,2026-09-04 22:02:00
TXN1048,2699,CARD,FAILED,NETWORK_ERROR,PENDING,CUST048,2,2026-09-04 22:19:00
TXN1049,6799,UPI,SUCCESS,,NOT_STARTED,CUST049,1,2026-09-04 22:36:00
TXN1050,2199,CARD,FAILED,PAYMENT_DECLINED,NOT_STARTED,CUST050,1,2026-09-04 22:53:00
